id,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
32,"Rector Ubach, Sant Gervasi- Galvany",1,Study,Flat,,2020-12-14,50,1,False,41.39885,/es/alquiler/vivienda/barcelona-capital/ascensor/158131733/d,2.144487,500.0,FINCAS ABARCA,9202762519960,1,25,sant gervasi - galvany,15.275452400051838
33,"Carrer del Marquès de Barberà, El Raval",1,Flat,Flat,,2020-12-14,0,0,False,41.377629999999996,/es/alquiler/vivienda/barcelona-capital/el-raval/158109882/d,2.171457,500.0,Jorge,9202765194061,1,42,el raval,14.323614132049757
34,"Passeig de la Mare de Déu del Coll, El Carmel",1,Study,Flat,3.0,2020-12-14,40,1,False,41.4227,/es/alquiler/vivienda/barcelona-capital/ascensor/157742469/d,2.151014,510.0,FINCAS AMADOR,9202754448132,1,25,el coll,12.715733915523172
35,"Carrer de Sant Domènec de Santa Caterina, Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,3.0,2020-12-14,0,0,False,41.38617,/es/alquiler/vivienda/barcelona-capital/amueblado/158087400/d,2.179447,525.0,ZONA ,9202750659637,0,30,"sant pere, santa caterina i la ribera",15.157329044420129
36,"Carrer de Martí, Vila de Gràcia",1,Flat,Flat,2.0,2020-12-14,0,0,False,41.40894,/es/alquiler/vivienda/barcelona-capital/amueblado/158140906/d,2.158945,525.0,GAUDI HOUSE FINCAS,9202751290015,1,35,la vila de gràcia,15.09676059493889
37,"Carrer Dels Jocs Florals, Sants",1,Apartment,Flat,,2020-12-14,0,1,False,41.37323,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/157831781/d,2.1349270000000002,525.0,JM Y CAI,9202750535439,0,45,sants,13.842839412213522
38,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
39,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
40,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
41,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
42,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
43,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
44,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
45,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
46,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
47,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
48,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
49,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
50,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
51,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
52,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
53,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
54,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
55,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
56,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
57,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
58,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
59,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
60,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
61,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
62,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
63,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
64,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
65,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
66,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
67,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
68,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
69,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
70,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
71,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
72,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
73,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
74,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
75,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
76,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
77,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
78,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
79,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
80,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
81,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
82,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
83,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
84,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
85,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
86,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
87,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
88,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
89,"Carrer de Picalquers, El Raval",1,Apartment,Flat,,2020-12-14,0,0,False,41.38071,/es/alquiler/vivienda/barcelona-capital/el-raval/156755612/d,2.168707,525.0,INVERSIONES INMOBILIARIAS Y FINANCIERAS SANT ANDREU,9202758138526,0,35,el raval,14.323614132049757
