,bathrooms,building_subtype,building_type,conservation_state,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,rooms,sqft_m2,neighbourhood,neighb_meanprice
7040,1,Flat,Flat,2.0,0,True,False,41.40917,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-piscina-parking/158063244/d,2.217649,1200.0,FINCAS MAS FERRER,2,75,diagonal mar i el front marítim del poblenou,17.261527510142248
7041,1,Flat,Flat,2.0,50,True,False,41.39372,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television/157325894/d,2.188727,1200.0,La Casa Vostra,4,96,el parc i la llacuna del poblenou,15.01556602976692
7042,1,Flat,Flat,2.0,0,True,False,41.38992,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/157876154/d,2.166448,1200.0,FINCAS VISCASILLAS & ASOCIADOS ,1,49,la dreta de l'eixample,14.399608832391861
7043,1,Flat,Flat,2.0,100,True,False,41.38996,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/157876033/d,2.166315,1200.0,FINCAS VISCASILLAS & ASOCIADOS ,1,57,la dreta de l'eixample,14.399608832391861
7044,2,Flat,Flat,2.0,0,True,False,41.42365,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-terraza-ascensor-amueblado/157880814/d,2.148677,1200.0,PROPIFY,3,97,la teixonera,12.603704324375947
7045,1,Flat,Flat,2.0,150,False,False,41.40044,/es/alquiler/vivienda/barcelona-capital/no-amueblado/156308887/d,2.157999,1200.0,FINQUES QUEROL,5,95,la vila de gràcia,15.09676059493889
7046,2,Flat,Flat,2.0,400,True,False,41.37481,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-internet-no-amueblado/155823220/d,2.15984,1200.0,BCB GESTORS SLP,4,85,el poble sec - aei parc montjuïc,14.359229885638655
7047,2,Flat,Flat,2.0,0,True,False,41.38049,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor-amueblado/157764174/d,2.131282,1200.0,THIERS HOMES,4,90,les corts,15.052336801010366
7070,2,Flat,Flat,2.0,100,True,False,41.37961,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor-amueblado-television-internet/155848705/d,2.130043,1200.0,ALFONSO GARRIDO,3,90,sants,13.842839412213523
7121,2,Flat,Flat,1.0,0,True,False,41.40533,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/158234580/d,2.202478,1200.0,ENGEL & VOELKERS,2,60,el poblenou,15.083231195188253
7122,2,Flat,Flat,1.0,0,False,False,41.36005,/es/alquiler/vivienda/barcelona-capital/parking-trastero-amueblado/158231135/d,2.13528,1200.0,LUCENA MONTSERRAT,3,85,la marina de port,10.826746822359492
7123,1,Apartment,Flat,1.0,0,True,False,41.39261,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157346003/d,2.173623,1200.0,ENGEL & VOELKERS,2,55,la dreta de l'eixample,14.399608832391861
7124,1,Flat,Flat,1.0,0,True,False,41.38895,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157421887/d,2.163323,1200.0,ENGEL & VOELKERS,1,50,l'antiga esquerra de l'eixample,14.475539079123976
7125,1,Flat,Flat,1.0,0,True,False,41.38818,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157057379/d,2.162678,1200.0,ENGEL & VOELKERS,1,50,l'antiga esquerra de l'eixample,14.475539079123976
7126,1,Flat,Flat,1.0,250,True,False,41.40202,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157344932/d,2.174059,1200.0,ENGEL & VOELKERS,3,83,la sagrada família,14.476486837923611
7127,1,Apartment,Flat,1.0,0,True,False,41.39231,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/158076298/d,2.16228,1200.0,ENGEL & VOELKERS,1,58,la dreta de l'eixample,14.399608832391861
7128,2,Flat,Flat,1.0,0,False,False,41.40722,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-patio-amueblado-no-amueblado/158219518/d,2.144072,1200.0,FINCAS AZCOITIA,3,80,el putxet i el farró,15.027643645449707
7129,1,Flat,Flat,1.0,0,True,False,41.38988,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/158219097/d,2.17728,1200.0,M&C properties,3,115,"sant pere, santa caterina i la ribera",15.157329044420129
7130,2,Flat,Flat,1.0,0,True,False,41.36222,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/158218878/d,2.13566,1200.0,PUNTO BELLVITGE,4,78,la marina de port,10.826746822359492
7131,1,Attic,Flat,1.0,0,True,False,41.38643,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157543643/d,2.180548,1200.0,APROPERTIES REAL ESTATE Nº Aicat 6388,1,34,"sant pere, santa caterina i la ribera",15.157329044420129
7132,1,Flat,Flat,1.0,0,True,False,41.40319,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/158215790/d,2.158245,1200.0,ROPISA URBAN,2,70,la vila de gràcia,15.09676059493889
7133,1,Flat,Flat,1.0,0,True,False,41.38842,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/158225861/d,2.17831,1200.0,ENGEL & VOELKERS,1,80,"sant pere, santa caterina i la ribera",15.157329044420129
7134,1,Flat,Flat,1.0,0,True,False,41.38931,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/158225818/d,2.172045,1200.0,CV COMERCIAL,2,74,la dreta de l'eixample,14.399608832391861
7135,1,Flat,Flat,1.0,0,True,False,41.38093,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-patio-amueblado/158128599/d,2.15096,1200.0,ARAICO ASSESSORS S.L,2,77,la nova esquerra de l'eixample,14.521146251476095
7136,1,Apartment,Flat,1.0,300,True,False,41.40147,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/156934085/d,2.147535,1200.0,ENGEL & VOELKERS,3,75,sant gervasi - galvany,15.275452400051837
7137,1,Apartment,Flat,1.0,0,True,False,41.38327,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-no-amueblado/158215991/d,2.187799,1200.0,ENGEL & VOELKERS,1,52,la barceloneta,17.40046456969391
