,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
1899,Dreta de l'Eixample,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157346663/d,2450.0,ENGEL & VOELKERS,9202758116439,3,110,la dreta de l'eixample,1307.6168415984594
1900,Barri Gòtic,0,Attic,Flat,0,2020-10-28,0,1,True,/es/alquiler/vivienda/obra-nueva/barcelona-capital/19616158/156132005,3599.0,NÚÑEZ I NAVARRO,9202752272449,2,109,el barri gòtic,1097.2901235955055
1901,Diagonal Mar i el Front Marítim del Poblenou,1,Flat,Flat,1,2020-10-28,100,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-amueblado/157365893/d,1700.0,ENGEL & VOELKERS,9202758116439,3,125,diagonal mar i el front marítim del poblenou,1372.3819003115261
1902,El Raval,1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157206081/d,1100.0,ENGEL & VOELKERS,9202758116439,1,70,el raval,850.1123431829961
1903,"Carrer de Trajà, La Font de la Guatlla",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/terraza-ascensor/157649616/d,850.0,,9202765673745,3,80,la font de la guatlla,865.9209999999999
1904,"Rambla del Brasil, Sants",1,Flat,Flat,0,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado-television/157614840/d,900.0,ELITE HOUSE,9202761366115,2,65,sants,877.7885151933701
1905,"Carrer de Guitard, Sants",1,Flat,Flat,0,2020-10-28,25,0,False,/es/alquiler/vivienda/barcelona-capital/terraza-no-amueblado/157452025/d,875.0,ELITE HOUSE,9202761366115,4,66,sants,877.7885151933701
1906,"Carrer de la Cera, El Raval",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157649205/d,725.0,Particular,9202764057787,1,46,el raval,850.1123431829961
1907,"Carrer del Rector Triadó, Hostafrancs",1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-no-amueblado/157649462/d,875.0,ARA BARCELONA,9202755624633,2,55,hostafrancs,830.5591379310345
1908,"Carrer de la França Xica, El Poble Sec - Parc de Montjuïc",1,Flat,Flat,0,2020-10-28,75,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television/157649435/d,975.0,ARA BARCELONA,9202755624633,1,63,el poble sec - aei parc montjuïc,837.0538047655649
1909,"Rambla Brasil (del), 51, Sants-Badal",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/157649394/d,900.0,PUNTO HABITAT,943003066102,2,70,sants,877.7885151933701
1910,"Passatge Vilaret (de), 23, Sagrada Família",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157649393/d,850.0,PUNTO HABITAT,943003066102,1,40,la sagrada família,960.2126757713706
1911,"Carrer Agregacio (l´), 38, El Guinardó",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/157649392/d,950.0,PUNTO HABITAT,943003066102,3,70,el guinardó,819.047778801843
1912,"Carrer de Bretón de Los Herreros, 2, Vila de Gràcia",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/157649371/d,1150.0,,9202760852526,4,80,la vila de gràcia,962.9541871737514
1913,"Passatge de Forasté, El Putget i el Farró",3,Flat,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-parking-television-se-aceptan-mascotas/157649241/d,1800.0,CENTURY 21 ALPHA,9202761154438,5,152,el putxet i el farró,1086.4194394618835
1914,"Travessera de Dalt, La Salut",1,Flat,Flat,0,2020-10-28,200,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor/156839692/d,1000.0,ALQUILER SEGURO,9202750898737,3,86,la salut,918.3093556701033
1915,Sant Antoni,2,Flat,Flat,0,2020-10-28,200,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157166315/d,1250.0,MONIKA RÜSCH,9202753807547,2,73,sant antoni,994.909158040028
1916,"Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157636637/d,950.0,MONIKA RÜSCH,9202753807547,2,60,"sant pere, santa caterina i la ribera",996.3534925373137
1917,Sant Gervasi- Galvany,1,GroundFloorWithGarden,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-patio/156483125/d,1150.0,MONIKA RÜSCH,9202753807547,1,50,sant gervasi - galvany,1397.2730045095827
1918,La Salut,1,Attic,Flat,0,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-internet/157155478/d,950.0,MONIKA RÜSCH,9202753807547,0,32,la salut,918.3093556701033
1919,L'Antiga Esquerra de l'Eixample,2,Flat,Flat,0,2020-10-28,150,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157355498/d,1150.0,MONIKA RÜSCH,9202753807547,2,75,l'antiga esquerra de l'eixample,1162.3216295594511
1920,El Raval,1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-patio-amueblado-internet/157619888/d,950.0,MONIKA RÜSCH,9202753807547,1,70,el raval,850.1123431829961
1921,"Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,0,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157171104/d,900.0,MONIKA RÜSCH,9202753807547,1,45,"sant pere, santa caterina i la ribera",996.3534925373137
1922,El Raval,1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-internet/157618899/d,850.0,MONIKA RÜSCH,9202753807547,1,54,el raval,850.1123431829961
